epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,14576.3,0.43047,0.31431,0.89288,0.95423,0.93808,0.98628,0.90141,0.42951,0.32818,0.80078,0.000132527,0.000132527,0.000132527
81,14750.6,0.42687,0.30137,0.88824,0.95063,0.95266,0.98803,0.90647,0.43207,0.30892,0.80232,0.00013104,0.00013104,0.00013104
82,14924.1,0.41542,0.30192,0.88964,0.95642,0.93813,0.98695,0.90353,0.43486,0.31483,0.80163,0.000129545,0.000129545,0.000129545
83,15096.6,0.4434,0.31101,0.89143,0.9543,0.94443,0.98847,0.89234,0.45648,0.308,0.80328,0.000128043,0.000128043,0.000128043
84,15270.6,0.44005,0.30844,0.89457,0.95176,0.93271,0.98583,0.90042,0.43617,0.32218,0.80113,0.000126535,0.000126535,0.000126535
85,15442.4,0.43719,0.31115,0.88691,0.95131,0.9497,0.98795,0.90548,0.42824,0.31195,0.80044,0.000125019,0.000125019,0.000125019
86,15614.2,0.43313,0.31286,0.89463,0.95703,0.94803,0.98876,0.89873,0.44297,0.31048,0.80449,0.000123498,0.000123498,0.000123498
87,15786.3,0.42625,0.30613,0.8936,0.95773,0.95041,0.98857,0.90818,0.43466,0.30959,0.80406,0.000121971,0.000121971,0.000121971
88,15958.6,0.42013,0.31078,0.89076,0.941,0.95715,0.98855,0.90543,0.42879,0.31707,0.80428,0.000120438,0.000120438,0.000120438
89,16131,0.42386,0.30007,0.88795,0.95345,0.94932,0.98868,0.90692,0.42899,0.31594,0.79923,0.000118901,0.000118901,0.000118901
90,16304.9,0.42554,0.30668,0.89019,0.94681,0.95647,0.98859,0.90368,0.43026,0.30408,0.79766,0.000117359,0.000117359,0.000117359
91,16477.4,0.41505,0.29628,0.88239,0.94572,0.95451,0.98859,0.90664,0.43102,0.30953,0.79975,0.000115812,0.000115812,0.000115812
92,16650,0.41503,0.29974,0.8829,0.95524,0.95166,0.98849,0.90457,0.43637,0.30892,0.80117,0.000114262,0.000114262,0.000114262
93,16822.3,0.4102,0.29535,0.88095,0.95328,0.95011,0.98857,0.91046,0.42734,0.30359,0.79947,0.000112708,0.000112708,0.000112708
94,16994.4,0.42239,0.29875,0.8875,0.95003,0.95636,0.98936,0.91184,0.42717,0.30244,0.79947,0.000111151,0.000111151,0.000111151
95,17166.9,0.4147,0.29537,0.89,0.95937,0.93944,0.98882,0.91136,0.42817,0.30583,0.79663,0.000109592,0.000109592,0.000109592
96,17339,0.41384,0.2938,0.88446,0.95582,0.94681,0.98887,0.91268,0.41853,0.29425,0.79498,0.00010803,0.00010803,0.00010803
97,17512.5,0.41095,0.2931,0.8844,0.9553,0.952,0.98913,0.91065,0.4131,0.30037,0.79719,0.000106466,0.000106466,0.000106466
98,17684.6,0.41295,0.29295,0.88407,0.95994,0.94675,0.9891,0.9125,0.42023,0.2968,0.79821,0.000104901,0.000104901,0.000104901
99,17863.3,0.4041,0.28639,0.88398,0.95805,0.94516,0.98904,0.90981,0.41735,0.2937,0.79661,0.000103335,0.000103335,0.000103335
100,18094.2,0.4053,0.2894,0.88142,0.94553,0.95777,0.98868,0.9114,0.40738,0.28955,0.79333,0.000101768,0.000101768,0.000101768
101,18273.3,0.4038,0.28435,0.88668,0.95479,0.94436,0.98745,0.90766,0.42162,0.30431,0.79495,0.0001002,0.0001002,0.0001002
102,18446.3,0.40481,0.28824,0.88626,0.96436,0.93885,0.98798,0.90637,0.42318,0.29997,0.79856,9.86324e-05,9.86324e-05,9.86324e-05
103,18618.6,0.41364,0.28727,0.8782,0.9645,0.93572,0.98819,0.90704,0.42969,0.30072,0.80103,9.70652e-05,9.70652e-05,9.70652e-05
104,18790.5,0.40641,0.28659,0.8845,0.96126,0.93955,0.98825,0.91436,0.41031,0.29511,0.79626,9.54988e-05,9.54988e-05,9.54988e-05
105,18963,0.39785,0.28232,0.88017,0.95508,0.94551,0.98871,0.91135,0.42255,0.29433,0.80129,9.39335e-05,9.39335e-05,9.39335e-05
106,19136.8,0.40469,0.28303,0.88099,0.94246,0.95843,0.98913,0.9155,0.40546,0.28816,0.79649,9.23698e-05,9.23698e-05,9.23698e-05
107,19313.5,0.40463,0.28627,0.88222,0.94191,0.96444,0.98958,0.91905,0.40836,0.28253,0.79717,9.0808e-05,9.0808e-05,9.0808e-05
108,19487.9,0.40313,0.27707,0.88438,0.96987,0.93494,0.98924,0.91669,0.40379,0.28411,0.79604,8.92485e-05,8.92485e-05,8.92485e-05
109,19661.7,0.39689,0.27526,0.87479,0.94449,0.96149,0.98931,0.92006,0.39353,0.27895,0.7936,8.76917e-05,8.76917e-05,8.76917e-05
110,19836.4,0.39159,0.27279,0.88291,0.94999,0.95224,0.98967,0.91814,0.40922,0.28339,0.79483,8.61381e-05,8.61381e-05,8.61381e-05
